Label: table, Score: 0.58, BBox: (161.22865295410156, 382.285888671875, 639.7890625, 479.8074645996094), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.49, BBox: (325.4085693359375, 91.6368179321289, 487.9949951171875, 398.385009765625), Mask shape: (480, 640, 1)
Label: table, Score: 0.62, BBox: (219.20013427734375, 381.9187316894531, 639.6920166015625, 479.71026611328125), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.52, BBox: (378.0731201171875, 88.21133422851562, 546.0552368164062, 402.7059631347656), Mask shape: (480, 640, 1)
Label: table, Score: 0.60, BBox: (299.5704345703125, 382.49603271484375, 639.8864135742188, 479.8148193359375), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.49, BBox: (455.90740966796875, 80.9507827758789, 636.494384765625, 412.848388671875), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.49, BBox: (443.785400390625, 82.17066955566406, 622.4295043945312, 410.69244384765625), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.49, BBox: (433.45037841796875, 83.27758026123047, 609.7937622070312, 408.9831848144531), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.48, BBox: (423.62957763671875, 84.55249786376953, 598.5106811523438, 407.7361145019531), Mask shape: (480, 640, 1)
Label: table, Score: 0.59, BBox: (263.71820068359375, 381.28125, 639.8729858398438, 479.83428955078125), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.49, BBox: (413.7796630859375, 85.56204223632812, 586.8995361328125, 406.45465087890625), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.48, BBox: (406.1324462890625, 86.232421875, 577.3533935546875, 405.2309875488281), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.48, BBox: (397.9001159667969, 86.94575500488281, 567.8373413085938, 404.1866149902344), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.50, BBox: (389.50860595703125, 87.69620513916016, 558.646240234375, 403.4144287109375), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.47, BBox: (467.59698486328125, 77.67213439941406, 640.0162353515625, 416.5735168457031), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.50, BBox: (482.78240966796875, 75.5404052734375, 640.0966796875, 419.35174560546875), Mask shape: (480, 640, 1)
Label: table, Score: 0.60, BBox: (324.69207763671875, 385.25836181640625, 639.9112548828125, 479.90008544921875), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.50, BBox: (496.5653076171875, 73.27214050292969, 640.0855712890625, 422.76605224609375), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.50, BBox: (508.8564758300781, 71.04534912109375, 640.043212890625, 417.9158935546875), Mask shape: (480, 640, 1)
Label: table, Score: 0.59, BBox: (351.78131103515625, 386.69854736328125, 639.9329833984375, 479.93414306640625), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.48, BBox: (520.9263916015625, 67.95024108886719, 640.00927734375, 417.2235107421875), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.44, BBox: (531.5316162109375, 65.7883071899414, 640.037109375, 420.3016052246094), Mask shape: (480, 640, 1)
Label: table, Score: 0.57, BBox: (374.70794677734375, 388.68414306640625, 639.896240234375, 479.8269348144531), Mask shape: (480, 640, 1)
Label: avatar, Score: 0.42, BBox: (541.812255859375, 67.2755126953125, 639.974365234375, 463.6439208984375), Mask shape: (480, 640, 1)
Label: table, Score: 0.57, BBox: (394.95013427734375, 390.90478515625, 640.08349609375, 479.90625), Mask shape: (480, 640, 1)
Label: table, Score: 0.57, BBox: (414.90594482421875, 392.8021240234375, 640.0521850585938, 479.90899658203125), Mask shape: (480, 640, 1)
Label: table, Score: 0.58, BBox: (432.8953857421875, 394.7823791503906, 640.021240234375, 479.9326477050781), Mask shape: (480, 640, 1)
Label: table, Score: 0.56, BBox: (448.94122314453125, 396.8509216308594, 640.0382080078125, 479.950927734375), Mask shape: (480, 640, 1)
Label: table, Score: 0.49, BBox: (464.0372009277344, 399.2285461425781, 639.968505859375, 479.9623107910156), Mask shape: (480, 640, 1)
Label: table, Score: 0.49, BBox: (479.29248046875, 400.93536376953125, 639.9467163085938, 479.9400634765625), Mask shape: (480, 640, 1)
Label: table, Score: 0.48, BBox: (492.1602783203125, 402.9259948730469, 639.9810180664062, 479.9840393066406), Mask shape: (480, 640, 1)
Label: table, Score: 0.48, BBox: (504.921142578125, 404.230712890625, 639.9222412109375, 480.0261535644531), Mask shape: (480, 640, 1)
Label: table, Score: 0.45, BBox: (515.75927734375, 405.8209533691406, 639.976318359375, 480.0655822753906), Mask shape: (480, 640, 1)
Label: table, Score: 0.41, BBox: (527.2679443359375, 406.84124755859375, 639.97021484375, 480.0604248046875), Mask shape: (480, 640, 1)
